NAME,ID,HIST_DATE,ARCH_DATE_MIN,ARCH_DATE_MAX,ARCH_DATE_MID,ALTITUDE,TERR_UNDUL,LAND_TYPE,LAND_TYPE_SIMP,ALA,DIST_PRAGUE,DIST_MAJTOWN,DIST_MONAST,DIST_MAJROAD,DIST_MAJRIV,STATUS,LONG,LAT
Troskovice,260,1388,1275,1325,1300,346,4.65,7,6+7,0,74006,9579,19478,19899,29027,0,-680099.3884,-1003727.685
Příšovice,261,1318,1200,1300,1250,241,2.12,8,8,1,72198,5217,11394,9450,36942,0,-688783.0134,-995131.3721
Všeň,262,1318,1200,1250,1225,266,3.3,8,8,1,71525,4878,11773,11044,36131,0,-687626.7843,-997520.5596
Plešany,263,1654,1300,1400,1350,273,4.97,8,8,1,75441,1793,16142,15052,31914,0,-683359.0551,-996581.2887
Daliměřice,265,1322,1275,1300,1287.5,284,4.6,8,8,1,76612,736,16355,14172,31896,0,-683840.5968,-994115.3721
Turnov,266,1272,1225,1275,1250,273,4.74,8,8,1,76414,34,16414,14550,31750,1,-683546.9093,-994784.7679
Cidlina,267,1322,1200,1300,1250,357,5.54,7,6+7,0,79962,6364,28495,27318,21472,0,-671545.4093,-1006759.81
Jinolice,268,1377,1250,1300,1275,322,4.6,8,8,1,78017,4949,27540,26539,23345,0,-672968.8676,-1008257.351
Jičín,269,1293,1250,1300,1275,289,2.19,8,8,1,76889,10,30282,21763,24780,1,-671979.3259,-1013112.455
Údrnice,270,1320,1200,1250,1225,266,2.58,8,8,1,67979,9386,27857,18789,26096,0,-679156.1488,-1019167.445
Sběř,271,1332,1250,1300,1275,245,1.44,9,9+10+11,1,76253,6994,32293,7898,27757,0,-668313.5238,-1026758.341
Hrobičany,272,1404,1200,1300,1250,241,1.39,9,9+10+11,1,76293,5800,31294,6716,28129,0,-668027.7738,-1027925.153
Skřivany,273,1360,1200,1300,1250,236,1.45,9,9+10+11,1,79866,3799,24498,94,22955,0,-663558.9613,-1033145.383
Bašnice,274,1318,1200,1300,1250,266,1.4,8,8,0,88663,13596,24700,3307,17431,0,-655669.0863,-1026673.674
Milovice u Hořic,275,1369,1200,1300,1250,272,1.49,8,8,0,90447,14972,23215,2552,15890,0,-653721.753,-1027417.153
Červená Třemešná,277,1267,1200,1300,1250,328,3.77,8,8,0,93811,20745,29925,10357,10031,0,-651927.878,-1019773.341
Nechanice,278,1228,1200,1300,1250,243,1.74,9,9+10+11,0,88272,13140,15165,7229,13507,1,-654719.2322,-1037407.82
Machov,279,1354,1200,1300,1250,455,7.59,6,6+7,0,139217,10787,5045,10826,27880,1,-606647.0863,-1014031.883
Police nad Metují,280,1213,1200,1225,1212.5,438,5.65,7,6+7,0,138404,8891,256,15652,28391,1,-608528.2738,-1009504.862
Žďár nad Metují,281,1406,1200,1300,1250,440,5.99,7,6+7,0,137257,9802,1508,16549,27511,0,-609851.1904,-1008949.237
Kocbeře,282,1415,1275,1300,1287.5,439,3.31,7,6+7,0,110233,12627,27270,14836,3566,0,-636019.8051,-1015694.789
Dvůr Králové nad Labem,283,1270,1200,1300,1250,301,3.32,8,8,0,106441,15998,26955,13134,417,1,-639438.2217,-1017655.351
Žireč,284,1448,1200,1300,1250,277,3.13,8,8,0,108242,17065,23670,10698,266,1,-637027.8676,-1020086.872
Choustníkovo Hradiště,285,1316,1200,1300,1250,290,3.19,7,6+7,0,110550,15086,24088,11666,1995,1,-634970.7321,-1018701.096
Žernov,286,1417,1400,1500,1450,380,3.59,8,8,0,122756,7649,17407,8659,11227,1,-622276.0238,-1019783.242
Náchod,287,1254,1225,1275,1250,353,6.23,7,6+7,0,129493,44,14501,6451,17636,1,-615005.2738,-1022196.242
Malá Skalice,288,1324,1200,1300,1250,283,2.4,8,8,0,120135,9377,17991,5170,8274,0,-624315.9613,-1023243.992
Česká Skalice,289,1238,1200,1300,1250,292,2.31,8,8,0,120687,8816,17672,4779,8836,1,-623691.5446,-1023643.513
Doubravice,290,1404,1200,1300,1250,275,2.11,8,8,0,117233,12296,16271,3802,5484,0,-626990.8988,-1024884.409
Ohnišov,291,1471,1200,1300,1250,408,3.55,7,6+7,0,130634,11189,15849,4549,20795,0,-612557.878,-1033070.617
Doudleby nad Orlicí,292,1259,1200,1300,1250,284,3.48,8,8,0,131599,17682,21436,26997,30094,0,-611975.7946,-1057171.513
Ježkovice,293,1437,1275,1325,1300,421,3.24,7,6+7,0,123367,7177,8885,18432,22427,0,-619508.4821,-1046979.763
Černožice,295,1365,1200,1300,1250,253,1.48,8,8,1,106957,12578,14776,169,847,0,-636576.753,-1030615.284
Všestary,296,1360,1200,1300,1250,265,1.53,8,8,1,97463,7326,12238,5821,4636,0,-645560.6801,-1036610.742
Rusek,297,1454,1200,1300,1250,239,0.93,9,9+10+11,1,104172,5420,12835,6660,2326,0,-638789.9926,-1037444.18
Jeníkovice,299,1385,1275,1325,1300,275,1.88,8,8,1,114084,12324,2591,12135,11881,0,-628735.8259,-1041672.221
Třebechovice pod Orebem,300,1358,1250,1300,1275,243,1.76,8,8,1,113056,11495,4993,14756,12000,1,-629767.7009,-1044630.263
Malšovice,301,1654,1200,1300,1250,232,0.99,9,9+10+11,1,103427,1750,7945,12108,2274,0,-639385.3051,-1042944.867
Roudnička,302,1465,1200,1300,1250,247,1.48,8,8,1,100908,4543,3406,15790,1180,0,-641975.5759,-1046821.013
